         159297259 function calls in 773.528 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    47895  628.924    0.013  754.526    0.016 sigproc.py:61(dtw)
154835185  121.782    0.000  121.782    0.000 {built-in method min}
       38    3.474    0.091    3.474    0.091 {built-in method syrk}
   191582    2.509    0.000    4.697    0.000 core.py:2763(_update_from)
    95791    2.363    0.000    5.827    0.000 core.py:2788(__array_finalize__)
  1628467    1.663    0.000    1.663    0.000 {built-in method getattr}
        1    1.582    1.582  767.846  767.846 sigproc.py:118(m_distance_features)
    95791    1.558    0.000    1.558    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    95790    1.343    0.000    2.245    0.000 core.py:3524(compressed)
    47895    1.307    0.000    1.307    0.000 {method 'dot' of 'numpy.ndarray' objects}
    95791    1.266    0.000    9.287    0.000 core.py:3033(__getitem__)
       19    0.933    0.049    0.933    0.049 {built-in method gemm}
    95790    0.694    0.000    0.694    0.000 {method 'compress' of 'numpy.ndarray' objects}
   671167    0.576    0.000    0.576    0.000 {built-in method isinstance}
    95791    0.574    0.000    6.401    0.000 {method 'view' of 'numpy.ndarray' objects}
       38    0.560    0.015    0.560    0.015 {built-in method numeric}
   862119    0.471    0.000    0.471    0.000 {method 'update' of 'dict' objects}
    95791    0.362    0.000    2.157    0.000 fromnumeric.py:1631(sum)
    47898    0.358    0.000    0.358    0.000 {built-in method zeros}
       19    0.271    0.014    5.260    0.277 misc.py:1389(factor)
    95790    0.208    0.000    0.208    0.000 core.py:3359(_get_data)
    95792    0.205    0.000    0.205    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    95791    0.104    0.000    1.662    0.000 _methods.py:31(_sum)
      224    0.053    0.000    0.053    0.000 {built-in method gemv}
        1    0.052    0.052  773.528  773.528 svm.py:106(smooth_qp_primal_real_solver)
      185    0.028    0.000    0.028    0.000 {built-in method solve}
       20    0.021    0.001    0.021    0.001 {built-in method symbolic}
        1    0.020    0.020    5.434    5.434 coneprog.py:1441(coneqp)
       20    0.017    0.001    0.026    0.001 uuid.py:596(uuid4)
       19    0.016    0.001    0.016    0.001 {built-in method symv}
       20    0.010    0.001    0.173    0.009 iostream.py:151(flush)
       20    0.010    0.000    0.137    0.007 session.py:589(send)
      140    0.008    0.000    0.008    0.000 {method 'send' of 'zmq.backend.cython.socket.Socket' objects}
       23    0.008    0.000    0.192    0.008 {built-in method print}
       20    0.008    0.000    0.008    0.000 {built-in method now}
      260    0.008    0.000    0.008    0.000 traitlets.py:395(__get__)
        1    0.008    0.008    5.445    5.445 coneprog.py:4159(qp)
       20    0.007    0.000    0.056    0.003 session.py:493(msg_header)
       72    0.007    0.000    0.007    0.000 {built-in method tbmv}
       80    0.006    0.000    0.016    0.000 encoder.py:197(iterencode)
       50    0.006    0.000    0.183    0.004 iostream.py:207(write)
       20    0.005    0.000    0.005    0.000 __init__.py:47(create_string_buffer)
      115    0.005    0.000    0.005    0.000 {built-in method dot}
       20    0.004    0.000    0.033    0.002 session.py:441(msg_id)
       20    0.004    0.000    0.008    0.000 iostream.py:96(_is_master_thread)
